order;subj_no;userID;gender;age;chrono_cat;chrono_score;gold_msi;instrument;education;training;profession;employment;date;first_prompt;timediff;time;day;dayN;day_time;tries;bpm;smt_ms;smt_cv;exp_duration;emotion_type;emotion_cat;emotion_catN;emotion_intensity;stress_level;paq_total;location;activity;company;music_listening;pot_test;pot_general;pot_week;pot_month;pot_year;pot_10years;time_pressure;time_expansion;meta_speed;meta_slowness;sss_score;ipaq_score;ipaq_cat
1;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 08:33;20.07.2020 08:22;0.18;morning;Monday;0;1_1;2;98.3213;610.2439;0.045138962;167428;calm - contentment;positive;0;6;2;11;home;house work;nobody, I am alone;no;6;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
2;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 12:55;20.07.2020 08:22;4.55;afternoon;Monday;0;1_2;1;102.4723;585.5238;0.030172195;148077;pleasure - enjoyment;positive;0;7;1;24;home;relaxation;an acquaintance or colleague;no;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
3;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 16:49;20.07.2020 08:22;8.45;evening;Monday;0;1_3;1;100.8081;595.1905;0.043809842;114005;pleasure - enjoyment;positive;0;6;1;12;home;work/study;an acquaintance or colleague;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
4;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;20.07.2020 20:28;20.07.2020 08:22;12.1;night;Monday;0;1_4;1;119.6289;501.551;0.079358014;86265;pleasure - enjoyment;positive;0;7;1;8;outdoors;social interaction;several friends or acquaintances;no;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
5;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 08:42;21.07.2020 08:04;0.63;morning;Tuesday;1;2_1;1;120.2019;499.16;0.041034015;205407;pleasure - enjoyment;positive;0;6;1;10;home;relaxation;an acquaintance or colleague;no;7;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
6;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 13:04;21.07.2020 08:04;5;afternoon;Tuesday;1;2_2;1;81.8718;732.8529;0.036452496;140307;calm - contentment;positive;0;6;2;7;home;work/study;nobody, I am alone;yes;5;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
7;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 16:15;21.07.2020 08:04;8.18;evening;Tuesday;1;2_3;1;121.615;493.36;0.215693643;80575;calm - contentment;positive;0;7;1;7;home;work/study;nobody, I am alone;no;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
8;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;21.07.2020 20:46;21.07.2020 08:04;12.7;night;Tuesday;1;2_4;1;120.8508;496.48;0.067614358;122553;pleasure - enjoyment;positive;0;7;1;24;outdoors;physical activity;an acquaintance or colleague;yes;2;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
9;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;22.07.2020 08:48;22.07.2020 08:31;0.28;morning;Wednesday;2;3_1;1;123.1785;487.098;0.050815861;89986;calm - contentment;positive;0;7;1;15;home;relaxation;nobody, I am alone;no;4;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
10;1;ach26c;male;28;neither;48;105;drums;6;7;14;6;22.07.2020 12:53;22.07.2020 08:31;4.37;afternoon;Wednesday;2;3_2;2;128.1225;468.3019;0.042845436;131688;calm - contentment;positive;0;6;3;7;home;work/study;nobody, I am alone;yes;3;1;1;2;2;2;1.8;0.8;3;1.33;0.41;5013;high
